Seq,station,lat,lon,country,distance(km)
166,斯里巴加湾港,04°54′N,114°56′E,文莱,24.78507675
124,斯里巴加湾港,04°54′N,114°56′E,文莱,24.78507675
102,朱拜勒港,27°01′.5N,049°41′.1E,沙特阿拉伯,26.96357202
102,朱拜勒港,27°01′.5N,049°41′.1E,沙特阿拉伯,27.18802086
94,利马索尔港,34°39′N,033°01′E,塞浦路斯,30.92803445
24,加西姆港,24°46′.1N,067°19′.7E,巴基斯坦,33.35522204
139,伦格港,26°33′N,054°53′E,伊朗,49.42882652
11,塞法杰港,26°44′.4N,033°56′.6E,埃及,58.52280272
133,荷台达港,14°50′.1N,042°56′.2E,也门,59.32729433
52,卡尔德拉港,09°55′N,083°43′W,哥斯达黎加,73.58871416
153,杜迈港,01°41′.2N,101°27′.3E,印度尼西亚,79.26043451
34,帝力港,08°33′S,125°35′E,东帝汶,93.2445668
131,拉塔基亚港,35°31′N,035°46′E,叙利亚,126.4960695
99,吉赞港,16°53′.4N,042°32′.1E,沙特阿拉伯,177.3783093
1,阿尔及尔港,36°46′N,003°04′E,阿尔及利亚,255.9281756
101,延布商业港,24°04′.8N,038°04′.1E,沙特阿拉伯,261.6079208
100,延布工业港,23°57′.2N,038°13′.0E,沙特阿拉伯,276.6245402
89,拉各斯港,06°26′S,003°24′E,尼日利亚,606.8838159
